Salmonella	Serogroup	Group	O Antigen	Shared H1 Probe	H Phase 1	H Phase 2	Other
Borreze		O:54	54		"f,g,s"	-	
Mundubbera		O:54	54		z29	-	
Newholland		O:54	"4,12,54"	mt/mptu	"m,t"	-	
Uccle		O:54	"3,54"	"g,s,t/g,t"	"g,s,t"	-	
Yerba		O:54	54		"z4,z23"	-	
II		O:56	56		d	-	
II		O:56	56		"l,z28"	-	
IIIa		O:56	56		"z4,z23"	-	
IIIa		O:56	56		"z4,z23,z32"	-	
IIIa		O:56	56		z29	-	
II		O:57	57	"g,s,t/g,t"	"g,t"	-	
IV		O:57	57		"z4,z23"	-	
IIIa		O:59	59		"z4,z23"	-	
IIIa		O:59	59		z29	-	
IIIa		O:59	59		z36	-	
VI		O:59	59		z36	-	
Catanzaro	H	"O:6,14 (H)"	"6,14"	"g,s,t/g,t"	"g,s,t"	-	
Chichiri	H	"O:6,14 (H)"	"6,14,24"		"z4,z24"	-	
II	H	"O:6,14 (H)"	"6,14"		z36	-	
IV	H	"O:6,14 (H)"	"6,14"		"z4,z23"	-	
Kaitaan	H	"O:6,14 (H)"	"1,6,14,25"	mt/mptu	"m,t"	-	
Sylvania	H	"O:6,14 (H)"	"[1],6,14,[25]"		"g,p"	-	
V	H	"O:6,14 (H)"	"6,14"		"e,n,z15"	-	
Warragul	H	"O:6,14 (H)"	"[1],6,14,[25]"		"g,m"	-	
II		O:60	60		b	-	[R1É]
V		O:60	60		z41	-	
V	61	O:61	61		z35	-	
IIIa		O:62	62		"z4,z23"	-	
IIIa		O:62	62		"z4,z32"	-	
IIIa		O:62	62		z29	-	
IIIa		O:62	62		z36	-	
IIIa		O:63	63		"z4,z23"	-	
IIIa		O:63	63		"z4,z32"	-	
IIIa		O:63	63		z36	-	
II		O:65	65	"g,s,t/g,t"	"g,t"	-	
V		O:66	66		z35	-	
V		O:66	66		z39	-	
V		O:66	66		z41	-	
V		O:66	66		z65	-	
V		O:66	66		z81	-	
Bulovka	C1	O:7 (C1)	"6,7"		z44	-	
Haelsingborg	C1	O:7 (C1)	"6,7"	"m,t/m,p,t,u/g,m,t"	"m,p,t,[u]"	-	
II	C1	O:7 (C1)	"6,7"	mt/mptu	"m,t"	-	
IV	C1	O:7 (C1)	"6,7"		"z4,z23"	-	
